timestamp,product,dealer,price,currency,in_stock,url
2026-07-26T21:58:04.628007,100g Argor-Heraeus Gold Bar,BullionStar,17206.98,SGD,True,https://www.bullionstar.com/buy/product/gold-argor-heraeus-cast-100
2026-07-26T21:58:04.628007,100g Argor-Heraeus Gold Bar,Indigo Precious Metals,17214.86,SGD,True,https://www.indigopreciousmetals.com/argor-heraeus-gold-100-gram-cast-bar.html
2026-07-26T21:58:04.628007,100g Argor-Heraeus Gold Bar,Silver Bullion,17302.28,SGD,True,https://www.silverbullion.com.sg/Product/Detail/Gold_Cast_Bar_Argor-Heraeus_100g
2026-07-26T21:58:04.628007,100g Argor-Heraeus Gold Bar,GoldSilver Central,17468.97,SGD,True,https://www.goldsilvercentral.com.sg/shop/buy-gold/buy-gold-bar/argor-heraeus/argor-heraeus-cast-gold-bar-100g/
2026-07-26T21:58:04.628007,1g Valcambi Gold Bar,Indigo Precious Metals,258.29,SGD,True,https://www.indigopreciousmetals.com/1-gram-valcambi-gold-minted-bar.html
2026-07-26T21:58:04.628007,1g Valcambi Gold Bar,BullionStar,5381.97,SGD,True,https://www.bullionstar.com/buy/product/1oz-valcambi
2026-07-26T21:58:04.628007,5g Valcambi Gold Bar,Indigo Precious Metals,973.05,SGD,True,https://www.indigopreciousmetals.com/5-gram-valcambi-gold-minted-bar.html
2026-07-26T21:58:04.628007,20g Valcambi Gold Bar,Indigo Precious Metals,3566.53,SGD,True,https://www.indigopreciousmetals.com/valcambi-20-gram-gold-minted-bar.html
2026-07-26T21:58:04.628007,1oz Valcambi Gold Bar,Indigo Precious Metals,5420.83,SGD,True,https://www.indigopreciousmetals.com/1-oz-valcambi-gold-bar-carded.html
2026-07-26T21:58:04.628007,50g Valcambi Gold Bar,Silver Bullion,8703.26,SGD,True,https://www.silverbullion.com.sg/Product/Detail/Gold_Minted_Bar_Valcambi_Suisse_50g
2026-07-26T21:58:04.628007,50g Valcambi Gold Bar,Indigo Precious Metals,8708.91,SGD,True,https://www.indigopreciousmetals.com/valcambi-50-gram-gold-minted-bar.html
2026-07-26T21:58:04.628007,100g Valcambi Gold Bar,Indigo Precious Metals,17245.75,SGD,True,https://www.indigopreciousmetals.com/valcambi-100-gram-gold-minted-bar.html
2026-07-26T21:58:04.628007,100g Valcambi Gold Bar,Silver Bullion,17343.98,SGD,True,https://www.silverbullion.com.sg/Product/Detail/Gold_Minted_Bar_Valcambi_Suisse_100g
2026-07-26T21:58:04.628007,1oz Heraeus Silver Bar,Indigo Precious Metals,81.98,SGD,True,https://www.indigopreciousmetals.com/1oz-argor-heraeus-silver-swiss-minted-bar.html
2026-07-26T21:58:04.628007,1oz Heraeus Silver Bar,BullionStar,88.54,SGD,True,https://www.bullionstar.com/buy/product/silver-heraeus-1oz
2026-07-26T21:58:04.628007,1oz Heraeus Silver Bar,LPM,140.54,SGD,True,https://www.lpm.sg/sg_en/1oz-argor-heraeus-999-silver-minted-bar.html
2026-07-26T21:58:04.628007,10oz Heraeus Silver Bar,Indigo Precious Metals,808.08,SGD,True,https://www.indigopreciousmetals.com/10-oz-heraeus-silver-cast-bar-9999-purity-w-coa-pre-order.html
2026-07-26T21:58:04.628007,10oz Heraeus Silver Bar,BullionStar,836.28,SGD,True,https://www.bullionstar.com/buy/product/silver-heraeus-10oz
2026-07-26T21:58:04.628007,10oz Heraeus Silver Bar,LPM,838.50,SGD,True,https://www.lpm.sg/sg_en/10-oz-heraeus-9999-silver-bar.html
2026-07-26T21:58:04.628007,10oz Heraeus Silver Bar,Silver Bullion,840.29,SGD,True,https://www.silverbullion.com.sg/Product/Detail/Silver_Cast_Bar_Heraeus_10oz
